13:27:يىڭى يىل:21:212:قالتىس:1:74078
97:4:بەك چىرايلىقكەن:3:907:گۈزەل:1:30994
97:4:بەك چىرايلىقكەن:17:413:چىرايلىق:4:30994,38441,78808,93446
102:4:بەك گۈزەل:3:907:گۈزەل:4:35241,77308,88663,104332
103:1:گۈزەل ئىكەن:3:907:گۈزەل:1:57590
104:335:بەك ياخشى:2:73:مۇنەۋۋەر:2:80126,82596
104:335:بەك ياخشى:6:304:بىخەتەر:2:55331,91439
104:335:بەك ياخشى:11:497:داڭلىق:1:106040
104:335:بەك ياخشى:12:717:ھەقىقى:1:31232
104:335:بەك ياخشى:18:164:خوشال:1:78008
104:335:بەك ياخشى:20:142:راھەت:4:80677,80679,80681,84007
104:335:بەك ياخشى:21:212:قالتىس:1:101201
104:335:بەك ياخشى:23:545:ئېسىل:4:76860,76865,76872,100762
104:335:بەك ياخشى:24:526:كۈچلۈك:2:65078,93900
104:335:بەك ياخشى:26:37:مۇقۇم:1:75183
104:335:بەك ياخشى:30:573:ئاسان:1:101201
104:335:بەك ياخشى:37:108:يېشىل:1:91479
105:31:ياخشى ئادەم:6:304:بىخەتەر:1:63321
105:31:ياخشى ئادەم:12:717:ھەقىقى:1:46010
107:2:گۈزەل شىنجاڭ:3:907:گۈزەل:2:39014,108750
109:13:ساپ ھاۋا:3:907:گۈزەل:3:30300,54175,109365
109:13:ساپ ھاۋا:16:268:ساغلام:1:4092
109:13:ساپ ھاۋا:17:413:چىرايلىق:2:4092,54175
109:13:ساپ ھاۋا:24:526:كۈچلۈك:1:4092
116:8:بەك كەڭ:26:37:مۇقۇم:1:47502
145:2:جانغا راھەت:20:142:راھەت:2:11722,31946
160:2:ئېسىل ئات:23:545:ئېسىل:2:52222,65048
163:2:نىمىدىگەن چىرايلىق:17:413:چىرايلىق:2:82304,95357
163:2:نىمىدىگەن چىرايلىق:37:108:يېشىل:1:95357
165:33:بەك چىرايلىق:3:907:گۈزەل:2:30994,111056
165:33:بەك چىرايلىق:16:268:ساغلام:1:4092
165:33:بەك چىرايلىق:17:413:چىرايلىق:33:944,4092,30994,31874,38441,39749,43105,45360,48485,49962,50968,51541,51791,52497,57909,59456,59931,63349,63930,63955,65047,71045,72361,74902,78808,78870,82304,84926,93446,98825,107968,108758,111056
165:33:بەك چىرايلىق:24:526:كۈچلۈك:1:4092
185:41:كېرەك دەپ:11:497:داڭلىق:1:92047
185:41:كېرەك دەپ:12:717:ھەقىقى:1:51243
185:41:كېرەك دەپ:20:142:راھەت:2:107869,108115
185:41:كېرەك دەپ:32:142:ئەرزان:1:97881
195:31:ناھايىتى زور:6:304:بىخەتەر:1:105526
195:31:ناھايىتى زور:21:212:قالتىس:1:52373
195:31:ناھايىتى زور:22:68:ئىناق:1:7020
195:31:ناھايىتى زور:24:526:كۈچلۈك:1:28526
201:7:ئاجايىپ ياخشى:23:545:ئېسىل:1:56470
205:6:چىرايلىق بولۇپ:16:268:ساغلام:1:4092
205:6:چىرايلىق بولۇپ:17:413:چىرايلىق:6:4092,9780,12038,17844,31874,48742
205:6:چىرايلىق بولۇپ:24:526:كۈچلۈك:1:4092
211:46:ۋاقىت چىقىرىپ:6:304:بىخەتەر:1:89843
211:46:ۋاقىت چىقىرىپ:10:150:ئاكتىپ:2:89594,89595
211:46:ۋاقىت چىقىرىپ:18:164:خوشال:1:50406
222:6:بۈگۈنكى كۈنگە:30:573:ئاسان:1:61962
227:313:ئۈمىد قىلىمەن:2:73:مۇنەۋۋەر:1:72486
227:313:ئۈمىد قىلىمەن:3:907:گۈزەل:5:50115,51950,57772,67799,77308
227:313:ئۈمىد قىلىمەن:10:150:ئاكتىپ:7:70166,70167,74074,74085,74086,74103,74116
227:313:ئۈمىد قىلىمەن:11:497:داڭلىق:1:95460
227:313:ئۈمىد قىلىمەن:12:717:ھەقىقى:5:58050,83961,84115,84120,84122
227:313:ئۈمىد قىلىمەن:14:276:مۇكەممەل:3:14766,48618,48659
227:313:ئۈمىد قىلىمەن:16:268:ساغلام:1:614
227:313:ئۈمىد قىلىمەن:17:413:چىرايلىق:3:72486,95304,99694
227:313:ئۈمىد قىلىمەن:21:212:قالتىس:3:51950,52373,52374
227:313:ئۈمىد قىلىمەن:23:545:ئېسىل:4:44603,56470,63689,69399
227:313:ئۈمىد قىلىمەن:31:29:ئۇلۇغۋار:1:20555
227:313:ئۈمىد قىلىمەن:33:142:ئىلغار:1:64456
233:11:خۇشال بولدۇم:23:545:ئېسىل:1:79272
251:21:ھېلىمۇ ياخشى:23:545:ئېسىل:2:48329,71105
263:261:ياخشى ئىش:3:907:گۈزەل:1:97656
263:261:ياخشى ئىش:12:717:ھەقىقى:1:49892
263:261:ياخشى ئىش:17:413:چىرايلىق:3:91546,91548,91616
263:261:ياخشى ئىش:18:164:خوشال:1:13619
263:261:ياخشى ئىش:20:142:راھەت:5:80677,80679,80681,84007,108989
263:261:ياخشى ئىش:23:545:ئېسىل:2:89424,96485
263:261:ياخشى ئىش:24:526:كۈچلۈك:1:13619
263:261:ياخشى ئىش:25:75:خوشاللىق:1:13619
263:261:ياخشى ئىش:26:37:مۇقۇم:2:61026,61047
263:261:ياخشى ئىش:30:573:ئاسان:1:61713
263:261:ياخشى ئىش:32:142:ئەرزان:1:84633
263:261:ياخشى ئىش:33:142:ئىلغار:1:61047
264:54:ئىش قىلىپ:3:907:گۈزەل:1:84126
264:54:ئىش قىلىپ:24:526:كۈچلۈك:1:87732
264:54:ئىش قىلىپ:30:573:ئاسان:1:78064
267:23:كۆڭلۈم يېرىم:23:545:ئېسىل:1:93814
268:15:يېرىم بولدى:30:573:ئاسان:1:94153
269:103:خېلى كۆپ:2:73:مۇنەۋۋەر:1:24129
269:103:خېلى كۆپ:12:717:ھەقىقى:1:58023
269:103:خېلى كۆپ:17:413:چىرايلىق:1:28623
269:103:خېلى كۆپ:18:164:خوشال:1:43409
269:103:خېلى كۆپ:23:545:ئېسىل:1:66128
277:16:چىرايلىق قىز:3:907:گۈزەل:1:56767
277:16:چىرايلىق قىز:17:413:چىرايلىق:16:958,3383,31479,32809,35883,43453,50319,52681,56767,92405,99298,102124,103729,105091,107453,110282
285:9:مول ھوسۇل:3:907:گۈزەل:2:10108,82184
299:7:كۆك كەپتەر:6:304:بىخەتەر:2:94479,94511
300:15:نېمىدىگەن ياخشى:3:907:گۈزەل:3:85942,85955,85973
300:15:نېمىدىگەن ياخشى:18:164:خوشال:1:49382
305:6:ھەقىقەتەن قايىل:24:526:كۈچلۈك:1:101232
308:6:بەك خوشال:18:164:خوشال:6:49248,69471,74703,75883,78008,110823
309:7:خوشال بولدۇم:12:717:ھەقىقى:1:36457
309:7:خوشال بولدۇم:18:164:خوشال:7:788,807,36457,76647,103644,110823,111434
316:4:قولىغا چۈشۈپ:20:142:راھەت:1:77468
330:11:ئىش بولىدۇ:16:268:ساغلام:1:95654
330:11:ئىش بولىدۇ:23:545:ئېسىل:1:86571
353:2:زامانغا لايىق:33:142:ئىلغار:1:3183
358:10:كۆپ ياخشى:17:413:چىرايلىق:1:65370
358:10:كۆپ ياخشى:21:212:قالتىس:1:48610
361:13:تەرەپكە قاراپ:3:907:گۈزەل:1:366
361:13:تەرەپكە قاراپ:12:717:ھەقىقى:1:61336
364:15:گەپ بولدى:12:717:ھەقىقى:1:65844
369:6:جىق يەر:10:150:ئاكتىپ:1:29411
369:6:جىق يەر:11:497:داڭلىق:1:34359
370:238:بار ئىكەن:3:907:گۈزەل:2:46339,97683
370:238:بار ئىكەن:12:717:ھەقىقى:1:99424
370:238:بار ئىكەن:16:268:ساغلام:2:89590,89592
370:238:بار ئىكەن:17:413:چىرايلىق:1:48485
370:238:بار ئىكەن:22:68:ئىناق:1:41161
370:238:بار ئىكەن:30:573:ئاسان:2:92102,100273
370:238:بار ئىكەن:32:142:ئەرزان:1:69790
370:238:بار ئىكەن:37:108:يېشىل:1:102864
372:5:يېڭى دەۋىر:24:526:كۈچلۈك:1:24282
378:20:قىزىل رەڭ:10:150:ئاكتىپ:1:104581
378:20:قىزىل رەڭ:20:142:راھەت:1:82311
378:20:قىزىل رەڭ:27:73:سادىق:1:6207
378:20:قىزىل رەڭ:37:108:يېشىل:2:49861,104581
382:2:گۈزەل بولۇپ:3:907:گۈزەل:2:57366,102662
382:2:گۈزەل بولۇپ:32:142:ئەرزان:1:57366
391:93:كۈن بولدى:21:212:قالتىس:1:55881
403:3:كۈندە كۆرۈپ:11:497:داڭلىق:1:111436
416:9:چىرايلىق ئىكەن:17:413:چىرايلىق:9:16990,34867,43105,43106,63349,70899,75899,90247,93755
422:11:بەك خۇشال:20:142:راھەت:1:103250
422:11:بەك خۇشال:29:28:كۆڭۈلدىكىدەك:1:39427
429:1:بەكمۇ چىرايلىق:17:413:چىرايلىق:1:16134
430:300:ئالىي مەكتەپ:3:907:گۈزەل:5:31665,37761,44337,93071,108695
430:300:ئالىي مەكتەپ:11:497:داڭلىق:7:12443,20074,23021,23091,39667,66991,83711
430:300:ئالىي مەكتەپ:12:717:ھەقىقى:4:34409,51919,71530,86635
430:300:ئالىي مەكتەپ:14:276:مۇكەممەل:1:14841
430:300:ئالىي مەكتەپ:24:526:كۈچلۈك:1:6492
430:300:ئالىي مەكتەپ:30:573:ئاسان:7:207,5055,12443,14639,18131,33282,63348
448:32:ئالىي مەكتەپكە:3:907:گۈزەل:1:37761
448:32:ئالىي مەكتەپكە:11:497:داڭلىق:1:23091
448:32:ئالىي مەكتەپكە:24:526:كۈچلۈك:1:6492
448:32:ئالىي مەكتەپكە:30:573:ئاسان:1:63348
462:69:بەك پەيزى:17:413:چىرايلىق:2:59425,110767
462:69:بەك پەيزى:21:212:قالتىس:1:110767
462:69:بەك پەيزى:26:37:مۇقۇم:1:103591
462:69:بەك پەيزى:30:573:ئاسان:1:77243
475:1:مەي باغلاپ:1:100:پىشقان:1:47653
476:13:ياخشى مۇئامىلە:3:907:گۈزەل:2:83046,83053
485:1:نىمدىگەن چىرايلىق:17:413:چىرايلىق:1:48730
492:13:ئوماق قىز:11:497:داڭلىق:1:96466
492:13:ئوماق قىز:17:413:چىرايلىق:1:63131
496:2:ئىگىز تاغ:3:907:گۈزەل:1:62338
498:3:چىرايلىق رەسىم:17:413:چىرايلىق:3:12565,71779,86825
499:2:رەسىم بولغان:17:413:چىرايلىق:1:91543
500:136:تېخىمۇ ياخشى:3:907:گۈزەل:2:83678,84023
500:136:تېخىمۇ ياخشى:17:413:چىرايلىق:1:91543
500:136:تېخىمۇ ياخشى:24:526:كۈچلۈك:1:12469
501:1:ياخشى بولاركەنتۇق:17:413:چىرايلىق:1:91543
506:39:ياخشى چىقىپتۇ:30:573:ئاسان:1:68763
508:37:رول ئالغان:11:497:داڭلىق:5:46481,50829,54647,91268,94846
508:37:رول ئالغان:12:717:ھەقىقى:1:84480
509:1:بەكلا ئېسىل:23:545:ئېسىل:1:91681
510:1:ئېسىل ئىكەن:23:545:ئېسىل:1:91681
515:66:تېز سۈرئەتتە:6:304:بىخەتەر:1:79348
515:66:تېز سۈرئەتتە:14:276:مۇكەممەل:1:102669
515:66:تېز سۈرئەتتە:16:268:ساغلام:1:89590
515:66:تېز سۈرئەتتە:24:526:كۈچلۈك:1:91179
515:66:تېز سۈرئەتتە:33:142:ئىلغار:2:50409,73979
516:27:مۇۋەپپەقىيەت قازىنىشنىڭ:14:276:مۇكەممەل:1:102669
516:27:مۇۋەپپەقىيەت قازىنىشنىڭ:24:526:كۈچلۈك:1:91179
517:3:نۇتۇقۇم مۇۋەپپەقىيەتلىك:24:526:كۈچلۈك:1:91179
518:7:مۇۋەپپەقىيەتلىك ئاخىرلاشتى:24:526:كۈچلۈك:1:91179
531:8:مەكتەپ پۈتتۈرۈش:3:907:گۈزەل:1:108695
534:1:ئەسلىدىكى نورمال:21:212:قالتىس:1:91978
535:1:نورمال ئىقتىدارىغا:21:212:قالتىس:1:91978
536:3:تەسىر يەتكۈزمىگەن:6:304:بىخەتەر:1:13164
536:3:تەسىر يەتكۈزمىگەن:21:212:قالتىس:1:91978
537:1:ئاساستا كىچىكلىتىش:21:212:قالتىس:1:91978
538:12:ھەقىقەتەن قالتىس:11:497:داڭلىق:1:36740
538:12:ھەقىقەتەن قالتىس:21:212:قالتىس:12:33059,36740,48163,53282,56366,66146,80638,80980,81711,91978,107021,110801
540:1:ئوغۇرسى كۈچلۈك:24:526:كۈچلۈك:1:92012
541:7:كۈچلۈك دەپ:6:304:بىخەتەر:1:88985
541:7:كۈچلۈك دەپ:24:526:كۈچلۈك:7:35985,49470,81540,88985,92012,100526,104807
549:211:يۇمشاق دېتال:2:73:مۇنەۋۋەر:3:1702,107801,108555
549:211:يۇمشاق دېتال:3:907:گۈزەل:3:39993,39994,109374
549:211:يۇمشاق دېتال:6:304:بىخەتەر:2:94619,104665
549:211:يۇمشاق دېتال:12:717:ھەقىقى:5:62301,62310,62335,62379,76065
549:211:يۇمشاق دېتال:14:276:مۇكەممەل:3:41525,109322,109344
549:211:يۇمشاق دېتال:21:212:قالتىس:1:104433
549:211:يۇمشاق دېتال:23:545:ئېسىل:1:75388
549:211:يۇمشاق دېتال:24:526:كۈچلۈك:3:24080,77248,110160
551:30:خېلى يامان:18:164:خوشال:1:108322
551:30:خېلى يامان:25:75:خوشاللىق:1:108322
554:76:ياخشى كۆرىدىغان:3:907:گۈزەل:1:64082
554:76:ياخشى كۆرىدىغان:12:717:ھەقىقى:1:110125
554:76:ياخشى كۆرىدىغان:15:67:بەخىتلىك:1:82807
554:76:ياخشى كۆرىدىغان:16:268:ساغلام:1:98533
554:76:ياخشى كۆرىدىغان:33:142:ئىلغار:1:43001
557:1:ئۇيغۇرچىنى سۆزلىيەلەيدۇ:11:497:داڭلىق:1:100415
558:1:بەك راۋانمۇ:11:497:داڭلىق:1:100415
559:1:راۋانمۇ ئەمەس:11:497:داڭلىق:1:100415
560:3:تېنىگە سالامەتلىك:11:497:داڭلىق:1:100415
561:1:سالامەتلىك تەتقىقاتىغا:11:497:داڭلىق:1:100415
562:1:تەتقىقاتىغا راۋاج:11:497:داڭلىق:1:100415
563:1:راۋاج بەرسۇن:11:497:داڭلىق:1:100415
572:20:ئازراق ۋاقىت:10:150:ئاكتىپ:2:89594,89595
572:20:ئازراق ۋاقىت:30:573:ئاسان:1:85803
574:2:قىسقا مېغىزلىق:30:573:ئاسان:1:82753
577:1:قالتىس رەسىمكەن:21:212:قالتىس:1:56366
578:8:تېخىمۇ چىرايلىق:17:413:چىرايلىق:8:30995,31008,52363,52369,64801,68469,95304,95629
590:6:ئۇلۇغ ئاللاھدىن:3:907:گۈزەل:1:60723
597:12:چىرايلىق چىقىپتۇ:3:907:گۈزەل:1:111056
597:12:چىرايلىق چىقىپتۇ:17:413:چىرايلىق:12:48485,51178,51541,51791,52497,59425,84926,98049,98050,98825,98884,111056
598:74:رەھمەت قىلسۇن:2:73:مۇنەۋۋەر:2:59181,59188
598:74:رەھمەت قىلسۇن:17:413:چىرايلىق:1:54813
598:74:رەھمەت قىلسۇن:23:545:ئېسىل:1:54813
598:74:رەھمەت قىلسۇن:24:526:كۈچلۈك:1:90569
611:23:خۇش بولدۇم:17:413:چىرايلىق:1:39749
611:23:خۇش بولدۇم:20:142:راھەت:3:80677,80679,80681
611:23:خۇش بولدۇم:33:142:ئىلغار:1:50240
613:38:بەك ئېسىل:23:545:ئېسىل:38:32047,32432,53255,53275,60832,61649,63341,63407,64899,66424,69221,72420,75942,75959,76148,82595,85184,85804,86553,86571,86828,89294,89327,90218,90416,94399,94615,94631,101206,101221,101296,101297,101298,101299,101594,108474,110486,111562
614:1:ئېسىل كەن:23:545:ئېسىل:1:75186
623:3:ساغلام بولىدۇ:16:268:ساغلام:3:682,101371,109634
626:45:ياخشى بولۇپ:10:150:ئاكتىپ:1:103520
626:45:ياخشى بولۇپ:21:212:قالتىس:1:48610
626:45:ياخشى بولۇپ:23:545:ئېسىل:1:59927
626:45:ياخشى بولۇپ:32:142:ئەرزان:2:69498,91285
636:1:مىفەن ئېتىشكەن:30:573:ئاسان:1:71030
637:1:ئامراق ئېتىشكە:30:573:ئاسان:1:71030
639:10:نېسىپ قىلسۇن:23:545:ئېسىل:1:35177
646:26:بەك ياخشىكەن:24:526:كۈچلۈك:1:65078
651:5:ياخشى ئۇسۇلكەن:17:413:چىرايلىق:1:37239
653:13:ئەڭ ئامراق:30:573:ئاسان:1:93809
657:25:خېلى ياخشى:10:150:ئاكتىپ:1:89594
664:1:خېلى قالتىس:21:212:قالتىس:1:49049
665:12:ئەڭ چىرايلىق:14:276:مۇكەممەل:1:91376
665:12:ئەڭ چىرايلىق:17:413:چىرايلىق:12:527,50213,54745,55959,56302,56996,73940,73942,79737,83819,89139,91376
666:1:چىرايلىق توپنى:17:413:چىرايلىق:1:50213
667:1:ئىبراھىموۋىچ تەپتىمىكىن:17:413:چىرايلىق:1:50213
668:5:قاتارىدىن قىلسۇن:12:717:ھەقىقى:1:65034
668:5:قاتارىدىن قىلسۇن:18:164:خوشال:2:77527,77543
668:5:قاتارىدىن قىلسۇن:25:75:خوشاللىق:2:77527,77543
669:2:گىف ئىشلەش:21:212:قالتىس:2:89295,89297
670:2:ھۈنىرىڭىز قالتىسكەنغۇ:21:212:قالتىس:2:89295,89297
672:55:رازى بولسۇن:3:907:گۈزەل:1:100150
672:55:رازى بولسۇن:16:268:ساغلام:1:48975
672:55:رازى بولسۇن:18:164:خوشال:2:100801,100802
672:55:رازى بولسۇن:23:545:ئېسىل:2:59927,59937
678:12:بەك پەيزىكەن:17:413:چىرايلىق:1:59425
681:7:ئېسىل گەپكەن:23:545:ئېسىل:7:62904,62907,62956,74228,76542,95151,99422
685:12:ھەقىقەتەن ئېسىل:23:545:ئېسىل:12:64878,64951,71602,71781,75186,75210,75215,75256,75546,79104,95871,104657
689:11:ياخشى مەزمۇن:16:268:ساغلام:1:98278
693:1:ئىشلىرىڭىزنى كۆڭۈلدىكىدەك:29:28:كۆڭۈلدىكىدەك:1:87585
694:1:كۆڭۈلدىكىدەك بولغان:29:28:كۆڭۈلدىكىدەك:1:87585
698:172:ئاللاھ خالىسا:3:907:گۈزەل:2:39993,83277
698:172:ئاللاھ خالىسا:4:7:ئىتىپاقلىق:1:80370
698:172:ئاللاھ خالىسا:14:276:مۇكەممەل:4:49447,64452,64468,72301
698:172:ئاللاھ خالىسا:15:67:بەخىتلىك:1:82342
698:172:ئاللاھ خالىسا:18:164:خوشال:1:82342
698:172:ئاللاھ خالىسا:20:142:راھەت:1:87486
698:172:ئاللاھ خالىسا:23:545:ئېسىل:3:39776,94402,94412
698:172:ئاللاھ خالىسا:24:526:كۈچلۈك:2:55982,93164
698:172:ئاللاھ خالىسا:30:573:ئاسان:2:77825,108437
698:172:ئاللاھ خالىسا:32:142:ئەرزان:1:108437
704:3:ئۇتۇقلۇق بولغاي:24:526:كۈچلۈك:1:81825
712:3:چىرايلىق كۆرۈنىدۇ:17:413:چىرايلىق:3:7398,14801,95629
714:22:ئۇتۇق تىلەيمەن:11:497:داڭلىق:1:54306
714:22:ئۇتۇق تىلەيمەن:24:526:كۈچلۈك:3:58473,58474,58475
716:15:قايىل بولدۇم:24:526:كۈچلۈك:1:101232
719:50:ئەڭ يېقىن:3:907:گۈزەل:1:40277
719:50:ئەڭ يېقىن:6:304:بىخەتەر:2:46460,79715
719:50:ئەڭ يېقىن:16:268:ساغلام:2:40277,62612
719:50:ئەڭ يېقىن:24:526:كۈچلۈك:2:16339,66729
728:147:ئەڭ ئاخىرقى:12:717:ھەقىقى:1:75051
728:147:ئەڭ ئاخىرقى:20:142:راھەت:1:4291
728:147:ئەڭ ئاخىرقى:24:526:كۈچلۈك:2:42461,78133
728:147:ئەڭ ئاخىرقى:30:573:ئاسان:3:3691,25127,40315
728:147:ئەڭ ئاخىرقى:33:142:ئىلغار:1:42461
730:4:نېمانداق چىرايلىق:17:413:چىرايلىق:4:56998,57022,57427,59722
733:36:ياخشى كۆرۈپ:12:717:ھەقىقى:2:67166,80530
733:36:ياخشى كۆرۈپ:18:164:خوشال:1:110137
733:36:ياخشى كۆرۈپ:23:545:ئېسىل:1:47260
734:92:مۇمكىن بولسا:16:268:ساغلام:1:65891
734:92:مۇمكىن بولسا:23:545:ئېسىل:1:43885
734:92:مۇمكىن بولسا:24:526:كۈچلۈك:1:99878
735:4:تولۇق تەرجىمە:14:276:مۇكەممەل:1:31396
740:1:ھەمىشە كىچىك:31:29:ئۇلۇغۋار:1:31074
741:1:كىچىك بولىۋېلىشنى:31:29:ئۇلۇغۋار:1:31074
743:14:ئېسىل ئىش:23:545:ئېسىل:14:41908,56160,56175,56239,61338,63346,64899,75302,82879,84006,85075,85082,85299,86571
744:1:نەقەدەر گۈزەللىكىنى:3:907:گۈزەل:1:30994
744:1:نەقەدەر گۈزەللىكىنى:17:413:چىرايلىق:1:30994
745:13:تېخىمۇ چوڭقۇر:3:907:گۈزەل:1:30994
745:13:تېخىمۇ چوڭقۇر:17:413:چىرايلىق:1:30994
745:13:تېخىمۇ چوڭقۇر:21:212:قالتىس:1:73562
745:13:تېخىمۇ چوڭقۇر:24:526:كۈچلۈك:1:8734
746:21:چوڭقۇر ھېس:3:907:گۈزەل:1:30994
746:21:چوڭقۇر ھېس:17:413:چىرايلىق:1:30994
746:21:چوڭقۇر ھېس:23:545:ئېسىل:1:100953
746:21:چوڭقۇر ھېس:24:526:كۈچلۈك:2:14270,59323
754:180:مىكرو بىلوگ:3:907:گۈزەل:1:77308
754:180:مىكرو بىلوگ:11:497:داڭلىق:7:32518,47284,48378,74507,74586,74587,74589
754:180:مىكرو بىلوگ:12:717:ھەقىقى:2:73251,74905
754:180:مىكرو بىلوگ:16:268:ساغلام:1:71831
754:180:مىكرو بىلوگ:23:545:ئېسىل:2:56265,66841
754:180:مىكرو بىلوگ:27:73:سادىق:1:71831
754:180:مىكرو بىلوگ:30:573:ئاسان:1:108437
754:180:مىكرو بىلوگ:32:142:ئەرزان:1:108437
754:180:مىكرو بىلوگ:33:142:ئىلغار:1:78200
757:2:مۇۋاپىق نامزات:11:497:داڭلىق:1:44877
759:1:نۇسخىسىغا ئالماشتۇرۇۋەتسە:17:413:چىرايلىق:1:30995
760:1:چىرايلىق بولغۇدەك:17:413:چىرايلىق:1:30995
769:6:ساقلىق زور:16:268:ساغلام:1:65806
770:13:زور بايلىق:16:268:ساغلام:3:65806,95344,101288
775:1:نۇسخىسىغا تەڭشىسەك:3:907:گۈزەل:1:30996
776:9:تېخىمۇ گۈزەل:3:907:گۈزەل:9:30996,44759,51625,59533,69646,83678,84023,89238,102662
776:9:تېخىمۇ گۈزەل:18:164:خوشال:1:89238
776:9:تېخىمۇ گۈزەل:25:75:خوشاللىق:1:89238
777:1:گۈزەل بولاركەن:3:907:گۈزەل:1:30996
784:10:ئەزا بولغانلىقىنى:37:108:يېشىل:1:35413
794:32:مۇھىم ئەمەس:2:73:مۇنەۋۋەر:1:108555
794:32:مۇھىم ئەمەس:12:717:ھەقىقى:2:61310,61311
794:32:مۇھىم ئەمەس:17:413:چىرايلىق:1:66948
794:32:مۇھىم ئەمەس:23:545:ئېسىل:1:66948
794:32:مۇھىم ئەمەس:29:28:كۆڭۈلدىكىدەك:1:66948
794:32:مۇھىم ئەمەس:30:573:ئاسان:1:17444
794:32:مۇھىم ئەمەس:33:142:ئىلغار:1:90902
804:7:يېڭى قۇرۇلغان:32:142:ئەرزان:1:25101
807:5:تەڭ تەرەققىي:20:142:راھەت:4:80677,80679,80681,84007
810:4:تەرەققىي قىلىدۇ:11:497:داڭلىق:1:61504
814:32:ياقتۇرۇپ قالدىم:17:413:چىرايلىق:1:78254
818:68:ھەقىقەتەن ياخشى:12:717:ھەقىقى:1:49892
818:68:ھەقىقەتەن ياخشى:14:276:مۇكەممەل:1:40366
818:68:ھەقىقەتەن ياخشى:16:268:ساغلام:1:40366
818:68:ھەقىقەتەن ياخشى:23:545:ئېسىل:1:96485
822:91:ئادەم يوق:3:907:گۈزەل:2:48193,76532
822:91:ئادەم يوق:6:304:بىخەتەر:1:7952
822:91:ئادەم يوق:11:497:داڭلىق:1:109633
822:91:ئادەم يوق:12:717:ھەقىقى:1:40421
