13-يىڭى يىل:21-قالتىس:4.285311738993688
578-تېخىمۇ چىرايلىق:17-چىرايلىق:8.078121724300908
590-ئۇلۇغ ئاللاھدىن:3-گۈزەل:4.358198454470676
597-چىرايلىق چىقىپتۇ:3-گۈزەل,17-چىرايلىق:11.436320178771584
598-رەھمەت قىلسۇن:2-مۇنەۋۋەر,17-چىرايلىق,23-ئېسىل,24-كۈچلۈك:10.225811381109567
611-خۇش بولدۇم:17-چىرايلىق,20-راھەت,33-ئىلغار:15.329143509282375
613-بەك ئېسىل:23-ئېسىل:7.678007276056066
614-ئېسىل كەن:23-ئېسىل:7.678007276056066
623-ساغلام بولىدۇ:16-ساغلام:8.702030505262583
626-ياخشى بولۇپ:10-ئاكتىپ,21-قالتىس,23-ئېسىل,32-ئەرزان:14.90846771333467
636-مىفەن ئېتىشكەن:30-ئاسان:7.60572836696345
637-ئامراق ئېتىشكە:30-ئاسان:7.60572836696345
639-نېسىپ قىلسۇن:23-ئېسىل:4.356079181168704
646-بەك ياخشىكەن:24-كۈچلۈك:3.0287609882869604
651-ياخشى ئۇسۇلكەن:17-چىرايلىق:5.756193629413547
653-ئەڭ ئامراق:30-ئاسان:3.905288648822358
657-خېلى ياخشى:10-ئاكتىپ:4.895444815449749
664-خېلى قالتىس:21-قالتىس:9.040199241157156
665-ئەڭ چىرايلىق:14-مۇكەممەل,17-چىرايلىق:13.152754462521937
666-چىرايلىق توپنى:17-چىرايلىق:8.078121724300908
667-ئىبراھىموۋىچ تەپتىمىكىن:17-چىرايلىق:8.078121724300908
668-قاتارىدىن قىلسۇن:12-ھەقىقى,18-خوشال,25-خوشاللىق:22.26637479868311
669-گىف ئىشلەش:21-قالتىس:9.040199241157156
670-ھۈنىرىڭىز قالتىسكەنغۇ:21-قالتىس:9.040199241157156
672-رازى بولسۇن:3-گۈزەل,16-ساغلام,18-خوشال,23-ئېسىل:11.608327573514114
678-بەك پەيزىكەن:17-چىرايلىق:4.493159223579753
681-ئېسىل گەپكەن:23-ئېسىل:7.678007276056066
685-ھەقىقەتەن ئېسىل:23-ئېسىل:7.678007276056066
689-ياخشى مەزمۇن:16-ساغلام:5.242598886625285
693-ئىشلىرىڭىزنى كۆڭۈلدىكىدەك:29-كۆڭۈلدىكىدەك:11.960764773662753
694-كۆڭۈلدىكىدەك بولغان:29-كۆڭۈلدىكىدەك:11.960764773662753
698-ئاللاھ خالىسا:3-گۈزەل,4-ئىتىپاقلىق,14-مۇكەممەل,15-بەخىتلىك,18-خوشال,20-راھەت,23-ئېسىل,24-كۈچلۈك,30-ئاسان,32-ئەرزان:24.248115619740716
704-ئۇتۇقلۇق بولغاي:24-كۈچلۈك:6.1442382057068965
712-چىرايلىق كۆرۈنىدۇ:17-چىرايلىق:8.078121724300908
714-ئۇتۇق تىلەيمەن:11-داڭلىق,24-كۈچلۈك:8.206317624032682
716-قايىل بولدۇم:24-كۈچلۈك:3.8223101108195343
719-ئەڭ يېقىن:3-گۈزەل,6-بىخەتەر,16-ساغلام,24-كۈچلۈك:12.31915959006034
728-ئەڭ ئاخىرقى:12-ھەقىقى,20-راھەت,24-كۈچلۈك,30-ئاسان,33-ئىلغار:8.440565389380632
730-نېمانداق چىرايلىق:17-چىرايلىق:8.078121724300908
733-ياخشى كۆرۈپ:12-ھەقىقى,18-خوشال,23-ئېسىل:9.861090349849851
734-مۇمكىن بولسا:16-ساغلام,23-ئېسىل,24-كۈچلۈك:4.538552619575663
735-تولۇق تەرجىمە:14-مۇكەممەل:6.659595238942186
740-ھەمىشە كىچىك:31-ئۇلۇغۋار:11.910138700592784
741-كىچىك بولىۋېلىشنى:31-ئۇلۇغۋار:11.910138700592784
743-ئېسىل ئىش:23-ئېسىل:7.678007276056066
744-نەقەدەر گۈزەللىكىنى:3-گۈزەل,17-چىرايلىق:15.021282679492742
745-تېخىمۇ چوڭقۇر:3-گۈزەل,17-چىرايلىق,21-قالتىس,24-كۈچلۈك:16.988923754513586
746-چوڭقۇر ھېس:3-گۈزەل,17-چىرايلىق,23-ئېسىل,24-كۈچلۈك:13.85922097086182
754-مىكرو بىلوگ:3-گۈزەل,11-داڭلىق,12-ھەقىقى,16-ساغلام,23-ئېسىل,27-سادىق,30-ئاسان,32-ئەرزان,33-ئىلغار:13.217952489012665
757-مۇۋاپىق نامزات:11-داڭلىق:6.811017654158069
759-نۇسخىسىغا ئالماشتۇرۇۋەتسە:17-چىرايلىق:8.078121724300908
760-چىرايلىق بولغۇدەك:17-چىرايلىق:8.078121724300908
769-ساقلىق زور:16-ساغلام:6.117068004541426
770-زور بايلىق:16-ساغلام:6.586553287842647
775-نۇسخىسىغا تەڭشىسەك:3-گۈزەل:6.943160955191833
776-تېخىمۇ گۈزەل:3-گۈزەل,18-خوشال,25-خوشاللىق:20.553179648633954
777-گۈزەل بولاركەن:3-گۈزەل:6.943160955191833
784-ئەزا بولغانلىقىنى:37-يېشىل:6.691304098669525
794-مۇھىم ئەمەس:2-مۇنەۋۋەر,12-ھەقىقى,17-چىرايلىق,23-ئېسىل,29-كۆڭۈلدىكىدەك,30-ئاسان,33-ئىلغار:28.80158024105764
804-يېڭى قۇرۇلغان:32-ئەرزان:6.81101765415807
807-تەڭ تەرەققىي:20-راھەت:9.29644448132831
810-تەرەققىي قىلىدۇ:11-داڭلىق:5.81101765415807
814-ياقتۇرۇپ قالدىم:17-چىرايلىق:3.0781217243009094
818-ھەقىقەتەن ياخشى:12-ھەقىقى,14-مۇكەممەل,16-ساغلام,23-ئېسىل:7.972072042277928
822-ئادەم يوق:3-گۈزەل,6-بىخەتەر,11-داڭلىق,12-ھەقىقى,18-خوشال,24-كۈچلۈك:9.649661734983267
838-ئەڭ ياخشى:3-گۈزەل,5-ياخشى كۆرۈش,6-بىخەتەر,10-ئاكتىپ,11-داڭلىق,14-مۇكەممەل,15-بەخىتلىك,16-ساغلام,18-خوشال,20-راھەت,21-قالتىس,23-ئېسىل,24-كۈچلۈك,30-ئاسان,32-ئەرزان,33-ئىلغار:20.72141504473191
839-ياخشى نەسىھەت:3-گۈزەل,12-ھەقىقى,30-ئاسان:13.409114943000919
851-تېما بار:12-ھەقىقى:5.697327886297295
854-تەۋسىيە قىلىمەن:3-گۈزەل,11-داڭلىق,12-ھەقىقى,16-ساغلام,20-راھەت,23-ئېسىل,24-كۈچلۈك,27-سادىق,32-ئەرزان:16.441132555661007
855-فېستىۋال ياخشى:3-گۈزەل:6.943160955191833
856-مەننى بېسىپ:3-گۈزەل:6.943160955191833
859-تېخنىكا گۈزەللىك:3-گۈزەل:6.943160955191833
860-گۈزەللىك تەپسىلات:3-گۈزەل:6.943160955191833
864-تولىمۇ گۈزەل:3-گۈزەل:6.943160955191833
865-گۈزەل ئىش:3-گۈزەل:6.943160955191833
872-ئاخىرى تاپتىم:14-مۇكەممەل:6.659595238942186
873-تىلىمدىكى مىكرو:14-مۇكەممەل:8.659595238942186
874-مىكرو بلوگنى:14-مۇكەممەل:5.489670237499874
876-پەيزى بولاپتىيا:14-مۇكەممەل:8.659595238942186
880-يۇمشاق دېتالنى:2-مۇنەۋۋەر,3-گۈزەل,14-مۇكەممەل:13.4372687906436
885-كىچىك بالىلار:6-بىخەتەر,11-داڭلىق,16-ساغلام,30-ئاسان,32-ئەرزان:13.145502219734269
894-ھەقىقىي ئىسىم:12-ھەقىقى:7.282290387018451
900-يامان ئەمەس:18-خوشال,25-خوشاللىق:7.1310868240513425
901-مەلۇم بولغايكى:3-گۈزەل:5.943160955191833
902-ئۇيغۇرچە مىكرو:11-داڭلىق,12-ھەقىقى,18-خوشال,33-ئىلغار:16.122248308494463
903-مىكرو بىلوگى:3-گۈزەل,11-داڭلىق,16-ساغلام,27-سادىق,30-ئاسان,32-ئەرزان,33-ئىلغار:16.07147408056509
905-دىققەت قىلىشىنى:16-ساغلام:5.242598886625285
906-ئۈمىد قىلىمىز:3-گۈزەل,10-ئاكتىپ,11-داڭلىق,12-ھەقىقى,16-ساغلام,17-چىرايلىق,23-ئېسىل,32-ئەرزان,33-ئىلغار:19.861983102904148
911-تازا مۇكەممەل:14-مۇكەممەل:8.659595238942186
912-مۇكەممەل بولغاي:14-مۇكەممەل:8.659595238942186
914-مىكرو بىلوگنى:11-داڭلىق:4.110577936016977
922-ئاتاڭدۇر ئەزىز:3-گۈزەل:6.943160955191833
923-ئەزىز يۇرت:3-گۈزەل:5.62123286030447
924-يۇرت ئەسلى:3-گۈزەل:6.943160955191833
925-ئەسلى بېشىڭنى:3-گۈزەل:6.943160955191833
926-بېشىڭنى سىلايدۇ:3-گۈزەل:6.943160955191833
927-سۆيگەننىڭ گۈزەلدۇر:3-گۈزەل:6.943160955191833
928-گۈزەلدۇر ۋەسلى:3-گۈزەل:6.943160955191833
941-ياخشى ئوقۇش:12-ھەقىقى:3.822858768381153
944-تاقابىل تۇرۇش:14-مۇكەممەل,20-راھەت,22-ئىناق,24-كۈچلۈك:18.492621403163426
947-ياخشى بولۇپتۇ:21-قالتىس,23-ئېسىل:10.378356514328598
952-سۆزنى قىلغان:12-ھەقىقى:4.474935464960846
963-غەرق بول:3-گۈزەل,11-داڭلىق,24-كۈچلۈك:11.38206016135468
967-ئەڭ ئېگىز:11-داڭلىق:3.641092652715756
972-ئۈرۈمچى كەچلىك:23-ئېسىل:3.590544434805727
973-كەچلىك گېزىتى:23-ئېسىل:3.3560791811687043
980-يېڭىچە قىياپەت:23-ئېسىل:4.870652353998462
1007-مىكرو بىلوگىنى:3-گۈزەل:2.6952334417482473
1010-خۇرسەن بولدۇم:23-ئېسىل:4.356079181168704
1014-ئېلان قىلىشنىڭ:33-ئىلغار:8.618372576215673
1022-ياخشى باشلىنىش:3-گۈزەل,14-مۇكەممەل,16-ساغلام:9.88272193322379
1023-يېرىم مۇۋەپپەقىيەت:10-ئاكتىپ:8.539301005224475
1032-تەلۋە ئادەم:21-قالتىس:8.040199241157156
1034-ناچار پىسخىكىنىڭ:10-ئاكتىپ:9.539301005224475
1035-پىسخىكىنىڭ يۇقۇشچانلىقى:10-ئاكتىپ:9.539301005224475
1037-يۇقۇملۇق كېسەلدىن:10-ئاكتىپ:8.539301005224475
1038-كېسەلدىن تېز:10-ئاكتىپ:9.539301005224475
1039-تېز بولىدۇ:10-ئاكتىپ:7.539301005224474
1040-ياخشى روھى:10-ئاكتىپ:7.539301005224474
1041-ھالىتىڭىزنى تارقاتسىڭىز:10-ئاكتىپ:9.539301005224475
1043-يېقىملىق كۈلۈمسىرەشنىڭ:10-ئاكتىپ:9.539301005224475
1045-ئاكتىپلىقنىڭ ئۇرۇقىنى:10-ئاكتىپ:9.539301005224475
1046-ئۇرۇقىنى چاچقان:10-ئاكتىپ:9.539301005224475
1047-ئائىلىنىڭ گۈزەللىكى:3-گۈزەل:6.943160955191833
1048-ئۈمۈتكە تولغانلىقىدا:3-گۈزەل:6.943160955191833
1064-دەسلەپكى قەدەمدە:3-گۈزەل,20-راھەت,24-كۈچلۈك:11.324949953173471
1067-كۈنگە مۇكەممەللەشكىلى:14-مۇكەممەل:8.659595238942186
1068-مۇكەممەللەشكىلى تۇرۇپتۇ:14-مۇكەممەل:8.659595238942186
1072-تەرجىمە قىلىۋېتىلسە:14-مۇكەممەل:8.659595238942186
1076-پەيزى چىقىپتۇ:21-قالتىس:4.133308645548637
1082-ياخشى ئۇسۇل:5-ياخشى كۆرۈش,17-چىرايلىق,30-ئاسان:11.37323521293173
1085-مەلۇم يولنى:12-ھەقىقى:7.282290387018451
1088-قىزغىن قەدەم:12-ھەقىقى:7.282290387018451
1089-قەدەم باسقان:12-ھەقىقى:4.960362292131088
1091-خۇدايىم بۇيرۇسا:30-ئاسان:3.7983734449058457
1104-داڭلىق دورامچۇق:11-داڭلىق:7.811017654158069
1105-سەرگەردان ئەمەس:11-داڭلىق:7.811017654158069
1113-ئۇيغۇرچە خەتلىك:3-گۈزەل,11-داڭلىق,27-سادىق,30-ئاسان,33-ئىلغار:8.577122413668741
1115-پەيزى ئىش:30-ئاسان:3.905288648822358
1117-ئۇلۇغ جۈمە:18-خوشال:5.088639596214909
1118-دوستىڭىزغا تارقاتسىڭىز:18-خوشال,25-خوشاللىق:19.949868696326746
1122-چىرايلىق قىزلار:3-گۈزەل,17-چىرايلىق:11.561851060855444
1123-قىزلار بار:17-چىرايلىق:6.07812172430091
1146-غەيرەت قىلىڭلار:3-گۈزەل,21-قالتىس,30-ئاسان:12.167023797139626
1149-كەيگۈچى ھەقىقىي:12-ھەقىقى:7.282290387018451
1150-ھەقىقىي پادىشاھ:12-ھەقىقى:7.282290387018451
1151-پادىشاھ ئەمەس:12-ھەقىقى:7.282290387018451
1152-ئېھتىياجى يوق:12-ھەقىقى:5.28229038701845
1153-يوق كىشى:12-ھەقىقى,19-رازى بولۇش:13.243055160681202
1154-كىشى ھەقىقىي:12-ھەقىقى:7.282290387018451
1155-ھەقىقىي پادىشاھتۇر:12-ھەقىقى:7.282290387018451
1158-ئەڭ ياخشىسى:3-گۈزەل,6-بىخەتەر,10-ئاكتىپ,14-مۇكەممەل,16-ساغلام,18-خوشال,32-ئەرزان:20.266754916976065
1175-پۈتكۈزۈش كېرەك:23-ئېسىل:7.678007276056066
1176-ئەڭ ئېسىل:3-گۈزەل,23-ئېسىل,33-ئىلغار,37-يېشىل:22.252773001020458
1177-ئېسىل ۋەزىپەھاياتتۇر:23-ئېسىل:7.678007276056066
1191-مۇ يە:1-پىشقان,2-مۇنەۋۋەر,10-ئاكتىپ,11-داڭلىق,12-ھەقىقى,14-مۇكەممەل,20-راھەت,23-ئېسىل,24-كۈچلۈك,30-ئاسان,33-ئىلغار,35-مەدھىيە:21.844341697572325
1193-ئالتۇندىن قىممەت:24-كۈچلۈك:5.921845784370449
1208-نورمال ئادەم:30-ئاسان:4.798373444905846
1214-ھەقىقەت قالتىس:21-قالتىس:9.040199241157156
1215-قالتىس ئادەم:21-قالتىس:9.040199241157156
1216-چىشلەپ قويغان:21-قالتىس:8.040199241157156
1217-ئادەم ياقتۇرىدىغان:21-قالتىس:9.040199241157156
1218-ياقتۇرىدىغان نەرسىگە:21-قالتىس:9.040199241157156
1219-نەرسىگە ئايلاندۇردى:21-قالتىس:9.040199241157156
1229-ئازراق بولسىمۇ:12-ھەقىقى,14-مۇكەممەل,17-چىرايلىق,20-راھەت:14.20645594596693
1248-كۆپ بولسىمۇ:11-داڭلىق,21-قالتىس:9.236507051200018
1251-خۇدا خالىسا:12-ھەقىقى:3.581850668877358
1253-ئالدىنقى يېرىم:24-كۈچلۈك:4.028760988286961
1256-ئۇلۇغ ئاللاھ:3-گۈزەل,11-داڭلىق,16-ساغلام,23-ئېسىل,30-ئاسان:10.629113202812999
1257-ئىشلىرىمىزغا ئاسانلىق:30-ئاسان:7.60572836696345
1258-ئاسانلىق بەرسۇن:11-داڭلىق,21-قالتىس,30-ئاسان:14.456945262278674
1259-بەك مودا:12-ھەقىقى:4.697327886297295
1261-نۇر چېچىش:30-ئاسان:6.020765866242294
1278-سالام دەپ:3-گۈزەل:4.943160955191833
1279-بىكار ئېيتمىغان:3-گۈزەل,5-ياخشى كۆرۈش,16-ساغلام:21.71287143803368
1281-ئۆزئارا تەمەنناسىز:3-گۈزەل:6.943160955191833
1283-سەمىمىي سالاملىشىشتەك:3-گۈزەل:6.943160955191833
1284-گۈزەل ئەخلاقىمىزدىن:3-گۈزەل:6.943160955191833
1285-ئەخلاقىمىزدىن مەھرۇم:3-گۈزەل:6.943160955191833
1286-مەھرۇم بولمىساق:3-گۈزەل:6.943160955191833
1295-خەت يازسام:3-گۈزەل,23-ئېسىل:5.451243229805586
1303-تەۋسىيە قىلىڭلار:6-بىخەتەر,16-ساغلام:8.05229768609704
1306-بەك كۆپ:3-گۈزەل,14-مۇكەممەل,23-ئېسىل,24-كۈچلۈك,27-سادىق,30-ئاسان,37-يېشىل:15.285189046276894
1311-يۇقىرى دەرىجىلىك:3-گۈزەل,6-بىخەتەر,10-ئاكتىپ:8.935550703607712
1313-تەرەپ قىلىش:6-بىخەتەر,14-مۇكەممەل:3.75129638588671
1318-قىزىق يېرى:24-كۈچلۈك:2.921845784370449
1322-تايىنى يوق:11-داڭلىق,23-ئېسىل,30-ئاسان:9.520810311794868
1327-ھۆرمەت قىلىش:12-ھەقىقى,20-راھەت,23-ئېسىل:8.722463582703444
1348-ئالتۇن مېدال:24-كۈچلۈك:5.55927570498574
1350-مىكرو بلوگدىكى:24-كۈچلۈك:5.40727261154069
1356-بەخت تىلەيمەن:29-كۆڭۈلدىكىدەك:10.960764773662751
1377-ئەڭ ئۇلۇغ:3-گۈزەل,18-خوشال,25-خوشاللىق:13.893029651518578
1384-فىرانسىيەدە ئۆتكۈزۈلگەن:11-داڭلىق:7.811017654158069
1397-غەيرەت قىل:3-گۈزەل,21-قالتىس,30-ئاسان:6.657519993988265
1398-ئايفوندا پەچەت:17-چىرايلىق:8.078121724300908
1399-پەچەت چىرايلىق:17-چىرايلىق:8.078121724300908
1400-چىرايلىق چىقىدىكەن:17-چىرايلىق:8.078121724300908
1407-قۇرۇق گەپ:12-ھەقىقى,15-بەخىتلىك,24-كۈچلۈك,26-مۇقۇم,30-ئاسان:15.943975055599582
1408-تېخىمۇ ئاز:26-مۇقۇم:8.751311408033802
1409-ئاز بولىناتتى:26-مۇقۇم:11.558666330091405
1414-ھەقىقەتەن گۈزەل:3-گۈزەل,17-چىرايلىق:11.69935458460538
1415-قىز دوستۇمنى:17-چىرايلىق:6.493159223579753
1421-ياخشىراق بولا:6-بىخەتەر:6.350267180834457
1433-فىلىمدىكى ھەقىقىي:12-ھەقىقى:7.282290387018451
1434-ھەقىقىي ئىسلام:12-ھەقىقى,24-كۈچلۈك:13.011491093446503
1437-ھەقىقەتەن تەسىرلەندۈرىدۇ:12-ھەقىقى:7.282290387018451
1454-قىسقا پاساھەتلىك:23-ئېسىل:7.678007276056066
1455-پاساھەتلىك سۆزلەر:17-چىرايلىق,23-ئېسىل:10.586203998914662
