6-بەك ئامراق:37-سەت:1.4339861049221954
462-بەك پەيزى:20-مەغلۇپ بولۇش,28-خاتالىق,32-ساختا:12.90592039225597
496-ئىگىز تاغ:5-ئازار,7-ئەلەم:19.405668828635285
500-تېخىمۇ ياخشى:5-ئازار,13-لۈكچەك:11.156742564690827
504-مەبلەغ سالغۇچىلارنى:37-سەت:4.372585560258052
506-ياخشى چىقىپتۇ:37-سەت:1.6721458421169597
508-رول ئالغان:37-سەت:2.7480946953502583
515-تېز سۈرئەتتە:37-سەت:0.9131539416207549
516-مۇۋەپپەقىيەت قازىنىشنىڭ:37-سەت:1.2026605588157393
541-كۈچلۈك دەپ:5-ئازار:9.078121724300908
547-بەلەن دەپسىز:28-خاتالىق:6.659595238942186
549-يۇمشاق دېتال:2-قوپال,13-لۈكچەك,28-خاتالىق,37-سەت:8.332347997530793
551-خېلى يامان:6-قالايمىقان:3.9543385045033177
554-ياخشى كۆرىدىغان:27-ئاجىز,37-سەت:2.582354303357471
593-يامان ئەمەسكەن:6-قالايمىقان:4.861229100111837
598-رەھمەت قىلسۇن:37-سەت:-0.25190530464974165
626-ياخشى بولۇپ:37-سەت:0.4656949646495333
639-نېسىپ قىلسۇن:22-قايغۇ,27-ئاجىز:10.777319225128068
653-ئەڭ ئامراق:6-قالايمىقان,27-ئاجىز:10.581010933095087
657-خېلى ياخشى:28-خاتالىق,37-سەت:5.329430920371944
672-رازى بولسۇن:29-زەربە:4.067896744921101
676-ئۇبۇنتۇ قاچىلاپ:28-خاتالىق:6.659595238942186
678-بەك پەيزىكەن:32-ساختا:6.388741328649092
689-ياخشى مەزمۇن:6-قالايمىقان:5.401797481474539
698-ئاللاھ خالىسا:6-قالايمىقان,28-خاتالىق,37-سەت:1.7845406366480925
716-قايىل بولدۇم:37-سەت:2.0506574653706897
719-ئەڭ يېقىن:22-قايغۇ,28-خاتالىق,37-سەت:6.986088876234577
720-يېقىن بەندىلىرىنى:28-خاتالىق:7.659595238942186
721-بەندىلىرىنى ئېغىر:28-خاتالىق:7.659595238942186
722-ئېغىر سىناقلار:28-خاتالىق:6.659595238942186
724-ئاللاھنىڭ ئامراق:28-خاتالىق:7.659595238942186
725-ئامراق بەندىلىرى:6-قالايمىقان,28-خاتالىق:14.350899337611711
726-بەندىلىرى ئوخشايمىز:28-خاتالىق:7.659595238942186
728-ئەڭ ئاخىرقى:27-ئاجىز,28-خاتالىق,29-زەربە,37-سەت:6.110299743174494
733-ياخشى كۆرۈپ:28-خاتالىق:2.489670237499874
734-مۇمكىن بولسا:18-زوراۋانلىق:4.1570948984130025
746-چوڭقۇر ھېس:7-ئەلەم:6.12787475949801
754-مىكرو بىلوگ:18-زوراۋانلىق,28-خاتالىق,37-سەت:1.822240865402386
769-ساقلىق زور:29-زەربە:7.264293957724605
770-زور بايلىق:29-زەربە:6.148816740304668
771-گۈدۈك دېگەن:28-خاتالىق:4.200163620304889
779-تىرىشچان رەھىمسىز:37-سەت:5.957548060979208
780-رەھىمسىز تېز:37-سەت:5.957548060979208
782-رىقابەتچىلەر تاشقى:37-سەت:5.957548060979208
783-تاشقى دۇنيادا:37-سەت:5.957548060979208
794-مۇھىم ئەمەس:23-غەيرى:5.325176199871627
818-ھەقىقەتەن ياخشى:37-سەت:-0.12991478027113124
819-ياخشى ئىشلارنى:28-خاتالىق:3.852240316884582
822-ئادەم يوق:27-ئاجىز,28-خاتالىق,37-سەت:3.2144206485907407
838-ئەڭ ياخشى:6-قالايمىقان,22-قايغۇ,23-غەيرى,27-ئاجىز,28-خاتالىق,37-سەت:3.781090330804183
854-تەۋسىيە قىلىمەن:28-خاتالىق,37-سەت:0.9000024182846931
880-يۇمشاق دېتالنى:13-لۈكچەك:8.61330158666825
885-كىچىك بالىلار:18-زوراۋانلىق,27-ئاجىز,37-سەت:7.691762745629295
889-كىشىنى ھاياجانغا:6-قالايمىقان:7.27626659939068
890-ھاياجانغا سالىدىغان:6-قالايمىقان:6.539301005224474
900-يامان ئەمەس:6-قالايمىقان,37-سەت:1.999995288815641
902-ئۇيغۇرچە مىكرو:7-ئەلەم:5.520192182276769
903-مىكرو بىلوگى:18-زوراۋانلىق,28-خاتالىق:4.967251039045765
905-دىققەت قىلىشىنى:6-قالايمىقان,37-سەت:7.899913923816449
906-ئۈمىد قىلىمىز:28-خاتالىق,37-سەت:1.9642236551955352
914-مىكرو بىلوگنى:37-سەت:2.2571083428381162
920-تەرەققىي قىلىشىنى:37-سەت:4.957548060979208
944-تاقابىل تۇرۇش:14-ئاۋارىچىلىق,18-زوراۋانلىق,29-زەربە,37-سەت:17.346131579056713
946-قايىل قىلىش:37-سەت:3.1501931389216042
963-غەرق بول:37-سەت:2.2571083428381162
972-ئۈرۈمچى كەچلىك:37-سەت:1.8700852197288689
1002-خا خا:29-زەربە:6.148816740304668
1010-خۇرسەن بولدۇم:6-قالايمىقان:5.539301005224474
1023-يېرىم مۇۋەپپەقىيەت:14-ئاۋارىچىلىق:10.375802272941595
1090-ئاخىرقى كۈنى:37-سەت:3.7351556396427603
1113-ئۇيغۇرچە خەتلىك:27-ئاجىز,32-ساختا,37-سەت:2.1132642937618256
1115-پەيزى ئىش:20-مەغلۇپ بولۇش,28-خاتالىق:13.856910496938044
1122-چىرايلىق قىزلار:37-سەت:2.4981164423419107
1132-ياخشى كۆرمىگەن:37-سەت:3.9575480609792084
1153-يوق كىشى:22-قايغۇ,27-ئاجىز,37-سەت:12.378723475882
1154-كىشى ھەقىقىي:37-سەت:3.1501931389216042
1158-ئەڭ ياخشىسى:6-قالايمىقان,23-غەيرى,37-سەت:6.232611116431364
1176-ئەڭ ئېسىل:28-خاتالىق,37-سەت:5.617143299921395
1184-ئىچىدە ئۆتسۇن:7-ئەلەم,22-قايغۇ:17.820706327914127
1191-مۇ يە:6-قالايمىقان,14-ئاۋارىچىلىق,15-ھادىسە,22-قايغۇ,27-ئاجىز,32-ساختا,33-تېتىقسىز,37-سەت:16.38333056140432
1208-نورمال ئادەم:1-بىنورمال,37-سەت:12.252976917456783
1226-يېڭى ئىش:37-سەت:0.5999960563611244
1248-كۆپ بولسىمۇ:2-قوپال,37-سەت:9.496248068469148
1252-مۇسابىقىنىڭ ئالدىنقى:37-سەت:5.372585560258052
1253-ئالدىنقى يېرىم:37-سەت:3.257108342838116
1254-يېرىم مەيدانىدا:37-سەت:5.957548060979208
1256-ئۇلۇغ ئاللاھ:2-قوپال,22-قايغۇ,27-ئاجىز,32-ساختا,37-سەت:13.810043101317241
1258-ئاسانلىق بەرسۇن:22-قايغۇ:4.300514145637357
1259-بەك مودا:23-غەيرى:7.74021369915047
1278-سالام دەپ:22-قايغۇ:7.300514145637358
1288-جىق پۇل:37-سەت:2.957548060979208
1290-زاۋۇتتىن چىققان:37-سەت:2.957548060979208
1294-گەپ يوللاي:14-ئاۋارىچىلىق:9.053874178054233
1295-خەت يازسام:23-غەيرى,37-سەت:7.112799259408522
1306-بەك كۆپ:1-بىنورمال,6-قالايمىقان,14-ئاۋارىچىلىق,28-خاتالىق,37-سەت:15.866960519581346
1311-يۇقىرى دەرىجىلىك:6-قالايمىقان,37-سەت:2.7740415350341356
1313-تەرەپ قىلىش:6-قالايمىقان,18-زوراۋانلىق,28-خاتالىق,35-شەھۋانى,37-سەت:15.692956349170556
1318-قىزىق يېرى:27-ئاجىز,28-خاتالىق,37-سەت:7.315739803014017
1322-تايىنى يوق:30-ئىسراپچىلىق:7.266282510818058
1327-ھۆرمەت قىلىش:6-قالايمىقان,29-زەربە:9.1396811208331
1349-قېتىملىق پۇرسەت:37-سەت:5.957548060979208
1377-ئەڭ ئۇلۇغ:22-قايغۇ,37-سەت:5.258062206616565
1387-ئاز گەپ:6-قالايمىقان,27-ئاجىز:11.367180525262063
1397-غەيرەت قىل:23-غەيرى:4.681320010096902
1407-قۇرۇق گەپ:17-قانۇنسىز,32-ساختا,37-سەت:7.006669628013844
1414-ھەقىقەتەن گۈزەل:37-سەت:2.635619966091846
1419-ئەزا بولۇپ:27-ئاجىز,37-سەت:4.568434325917705
1444-دوستلار يىغىلغاندا:22-قايغۇ:9.300514145637358
1445-قايغۇلار ئۇنتۇلىدۇ:22-قايغۇ:9.300514145637358
1446-دوستبۇرادەرلەر داۋاملىق:22-قايغۇ:9.300514145637358
1447-داۋاملىق ئىزدىشىپ:22-قايغۇ:9.300514145637358
1448-كۆڭۈللەر قايغۇدىن:22-قايغۇ:9.300514145637358
1449-قايغۇدىن يىراق:22-قايغۇ:9.300514145637358
1450-يىراق بولغۇسى:22-قايغۇ:9.300514145637358
1489-خېلى جىق:37-سەت:1.565230638200448
1511-ئادەم ئاز:28-خاتالىق:3.4896702374998734
1514-تېخىمۇ كۆپ:28-خاتالىق,30-ئىسراپچىلىق,36-يامان نىيەت,37-سەت:10.662765424816971
1515-كۆپ ئادەمنى:28-خاتالىق:4.852240316884582
1547-مۇكاپات بار:28-خاتالىق,37-سەت:8.002433455806186
1582-سىنا مىكرو:22-قايغۇ,28-خاتالىق:6.098634709453771
1589-ئەڭ مۇنەۋۋەر:27-ئاجىز:4.120661269265434
1612-بارىكاللا ئىنىلىرىم:37-سەت:5.957548060979208
1613-ماھارىتىڭلارغا كۆز:37-سەت:5.957548060979208
1614-كۆز تەگمىسۇن:37-سەت:1.7096205475356225
1615-ئىش ياخشى:28-خاتالىق:4.852240316884582
1618-تەرجىمە قىلىپ:6-قالايمىقان,28-خاتالىق,30-ئىسراپچىلىق,33-تېتىقسىز,37-سەت:11.05532390764764
1632-كەڭ قۇرساقلىق:28-خاتالىق,37-سەت:9.587395956527343
1633-مۇئامىلە قىلىش:28-خاتالىق,37-سەت:3.7087506791476437
1635-ئاسان ئەمەس:23-غەيرى:4.394438862308741
1641-ئېلان قىلىندى:14-ئاۋارىچىلىق,28-خاتالىق,32-ساختا,37-سەت:5.144864349901208
1652-مەسىلە بار:37-سەت:0.37258556025805195
1656-ھېس قىلغان:19-خاتىرجەمسىز,22-قايغۇ,27-ئاجىز,28-خاتالىق,29-زەربە,37-سەت:22.770843304058666
1657-يېڭى يېڭى:37-سەت:3.0506574653706897
1660-ياخشى كۆرىمەن:28-خاتالىق:3.2672778161634257
1671-ئەھمىيىتى بار:6-قالايمىقان:5.053874178054233
1673-مول ئىكەن:27-ئاجىز:6.120661269265434
1700-قايىل قىلىدىكەن:38-قىلتاق:10.7457518826919
1703-ئەڭ يېڭى:27-ئاجىز,29-زەربە,37-سەت:3.258870744753866
1715-بەك مۇكەممەل:29-زەربە:7.264293957724605
1725-گۈزەل سۆز:5-ئازار:7.426045027721216
1730-ئاق بۈركۈتتىكى:37-سەت:3.9575480609792084
1751-زور ئۇتۇق:20-مەغلۇپ بولۇش:10.42826969283573
1754-گۈدۈكچى بولدۇم:37-سەت:2.1501931389216042
1762-ئەمەلگە ئېشىش:37-سەت:3.372585560258052
1788-ئۇلۇغ ئاللاھقا:27-ئاجىز,37-سەت:10.434353140469916
1795-بىلەت تاشلاڭلار:37-سەت:3.6356199660918462
1809-يېڭى يىلىنى:23-غەيرى:9.325176199871626
1811-يېڭى يىل:23-غەيرى,37-سەت:5.23560034873681
1826-ئەسلى مەنبەدىكى:28-خاتالىق:7.0746327382210294
1848-ياخشى پايدىلىنىش:37-سەت:3.9575480609792084
1850-ئىش بولۇپتۇ:22-قايغۇ:7.426045027721216
1870-ياخشى بوپتۇ:28-خاتالىق,37-سەت:1.832508454363873
1907-كۆپ خىل:26-سەۋەنلىك,27-ئاجىز,37-سەت:9.455328838003526
1912-خۇش خەۋەر:22-قايغۇ,37-سەت:4.274356013957216
1923-ياخشى بولغان:28-خاتالىق,37-سەت:4.21626386363921
1947-مۇقەددەس كىتاب:27-ئاجىز:5.120661269265435
1948-تەرجىمە قىلىنىپ:29-زەربە:4.234546614330552
1950-ھازىرقى زامان:15-ھادىسە,27-ئاجىز:5.6408534515422035
1951-تەرجىمە قىلغان:6-قالايمىقان,28-خاتالىق,37-سەت:2.9797023575390056
1961-نەقەدەر ياخشى:28-خاتالىق:3.852240316884582
1972-ياخشى چۈشىنىش:37-سەت:5.957548060979208
1985-بارلىققا كەلتۈرىدۇ:27-ئاجىز:5.535698768544279
2013-ياخشى بىرنىشاننى:37-سەت:5.957548060979208
2014-مەخسەت قىلىپتۇ:37-سەت:5.957548060979208
2021-تېخىمۇ ئۈنۈملۈك:37-سەت:3.6356199660918462
2041-ئۈمۈت قىلىمەن:28-خاتالىق,37-سەت:5.107368295594457
2048-ئىش بولدى:28-خاتالىق,37-سەت:5.20210580064255
2066-قىززىپ كەتتى:37-سەت:2.635619966091846
2109-كۆز قاراش:6-قالايمىقان,8-ئاداۋەت,28-خاتالىق,37-سەت:13.759926848746773
2113-ئۇيغۇر دىگەن:28-خاتالىق:5.396560833108392
2119-يېڭى باش:27-ئاجىز,37-سەت:5.738359327360018
2123-رەھمەت ئېيتىمەن:37-سەت:2.7096205475356223
2167-گەپ قىلدىڭىز:27-ئاجىز,28-خاتالىق:7.966475316990584
2181-بار بولدى:14-ئاۋارىچىلىق:7.790839772220438
2220-قول سېلىپ:27-ئاجىز:4.120661269265434
2224-ھەربىتى راھەت:22-قايغۇ:9.300514145637358
2226-شاتلىق كەلگىنى:22-قايغۇ:9.300514145637358
2227-ھىكمەت قىلغۇسى:22-قايغۇ:9.300514145637358
2228-جۇتنى باھار:22-قايغۇ:8.885476646358514
2229-باھار بولمىسا:22-قايغۇ:9.300514145637358
2230-ھىكمەت ئامىتىم:22-قايغۇ:9.300514145637358
2231-ئامىتىم ئاپەت:22-قايغۇ:9.037479739803564
2232-نىمىدىگەن پاساھەتلىك:22-قايغۇ:9.300514145637358
2233-پاساھەتلىك تىللار:22-قايغۇ:9.300514145637358
2235-خۇشال قىلىدىغان:22-قايغۇ:7.715551644916201
2254-مەركىزىنىڭ ئېچىلىشى:37-سەت:5.957548060979208
2255-ئىشەنچ تۇيغۇسى:37-سەت:5.957548060979208
2256-پىكىرىنى دادىل:37-سەت:5.957548060979208
2257-دادىل بايان:37-سەت:5.957548060979208
2258-بايان قىلىش:6-قالايمىقان,37-سەت:6.648852159648731
2259-نامايەن قىلىش:5-ئازار,37-سەت:8.843024707337722
2260-ئىقتىدارىنى يېتىلدۈرۈش:37-سەت:4.372585560258052
2261-كەم بولسا:37-سەت:2.498116442341911
2262-يېڭى گۈدۈكنى:37-سەت:3.372585560258052
2265-ياخشى بولىشىغا:37-سەت:4.372585560258052
2285-فىلىمنى كۆرۈپ:27-ئاجىز:3.9507362678231224
2295-ھالەتكە چۈشۈپ:27-ئاجىز:6.535698768544279
2306-ئېلان قىلغان:6-قالايمىقان,18-زوراۋانلىق,37-سەت:6.604782505947048
2319-ھېس قىلىۋاتىمەن:27-ئاجىز:3.2626802741378627
2321-ئاز قالغان:28-خاتالىق:2.5721323976918464
2332-ئۆزىمىزدىن باشلايلى:28-خاتالىق:4.200163620304889
2353-مەغلۇپ بولغان:20-مەغلۇپ بولۇش,37-سەت:9.380817072756573
2357-تامامەن بولىدۇ:27-ئاجىز:3.7987331743780723
2376-كۆپتىن كۆپ:37-سەت:2.4981164423419107
2377-كۆپ رەھمەت:37-سەت:0.7677235020991908
2384-ئىگە بولغان:15-ھادىسە,20-مەغلۇپ بولۇش,27-ئاجىز,37-سەت:15.789848653746269
2385-ئادەم ئەمەس:32-ساختا:5.019507518983374
2396-تەسىر قىلدى:37-سەت:1.787623059536896
2399-خۇدايىم ساق:6-قالايمىقان,37-سەت:5.648852159648731
2400-ساق سالامەت:2-قوپال,22-قايغۇ:11.283998995800193
2402-چوڭ بولۇشقا:37-سەت:4.957548060979208
2417-قىسقا فىلىم:27-ئاجىز,37-سەت:3.2442650997078992
2418-تورىنى قۇرۇپ:23-غەيرى:8.325176199871626
2420-فىلىم ئىشلەش:7-ئەلەم:6.272264668833184
2441-ياخشى ئىشلەنگەن:28-خاتالىق:4.337667144054824
2445-بەك پەچەت:14-ئاۋارىچىلىق:9.375802272941595
2447-تورىنىڭ تەرجىمانلىرى:28-خاتالىق:6.659595238942186
2450-ئىگە بولۇپ:37-سەت:1.565230638200448
2492-يۇمشاق دىتال:6-قالايمىقان,8-ئاداۋەت,28-خاتالىق,29-زەربە,37-سەت:10.049744443606155
2539-بەخىت تىلەش:18-زوراۋانلىق:8.680656854470016
2540-مەزمۇنى ياخشكەن:18-زوراۋانلىق:10.680656854470016
2547-ئاتا قىلسۇن:27-ئاجىز,37-سەت:3.0782093302446425
2555-بەخت سائادەت:7-ئەلەم,22-قايغۇ:13.480856325029503
2576-ياخشى ئىكەن:37-سەت:1.257108342838116
2580-ئاپتونوم رايونلۇق:27-ئاجىز,37-سەت:2.4124293019151595
2589-ھې ھې:37-سەت:-0.7566974566869146
2596-كۈچ چىقىرىپ:37-سەت:3.1501931389216042
2602-قۇدرەت تاپقۇزۇش:28-خاتالىق:6.0746327382210294
2625-بايلىقى مول:28-خاتالىق:5.337667144054824
2648-ھېس قىلىمەن:18-زوراۋانلىق,27-ئاجىز:8.626392441234772
2656-ئاتا قىلدى:37-سەت:3.372585560258052
2658-پۈتۈن دۇنيا:1-بىنورمال,5-ئازار,32-ساختا,33-تېتىقسىز,37-سەت:16.315708245926984
2660-ھىس قىلدىم:6-قالايمىقان,27-ئاجىز:6.4860353424901
2665-ياشلىرىمنى توختىتالماي:37-سەت:4.372585560258052
2670-ئىسىل نەرسىكەن:37-سەت:4.957548060979208
2718-پەسلى ياخشىكەن:37-سەت:5.957548060979208
2720-پۇرسەت چىقىدىكەن:37-سەت:5.957548060979208
2721-ئىشقا ماڭغاچ:37-سەت:4.957548060979208
2722-ئۆزگىرىشلىرىدىن ھۇزۇر:37-سەت:5.957548060979208
2723-ھۇزۇر ئالغىلى:37-سەت:5.957548060979208
2744-كەڭ گۈدۈكداشلارنىڭ:28-خاتالىق:5.659595238942186
2783-سوۋغا قىلاي:27-ئاجىز:4.661229650628138
2793-كۈن بار:15-ھادىسە:8.935229681555613
2800-ئاللاھقا چەكسىز:22-قايغۇ:6.715551644916201
2813-خەتلىك فىلىم:8-ئاداۋەت,27-ئاجىز,32-ساختا:12.336985013501918
2816-ياخشى نىيەتتە:36-يامان نىيەت:11.358728759582654
2826-تەسىس قىلىپ:17-قانۇنسىز:6.527328363558398
2833-خېلى تەرەققى:6-قالايمىقان:7.861229100111837
2848-ئالدىنقى كۈنى:28-خاتالىق:3.7053989285553106
2863-ياخشى خەۋەر:37-سەت:3.257108342838116
2864-خەۋەر بولدى:22-قايغۇ:6.715551644916201
2867-مىكرو بلوگىدا:6-قالايمىقان:5.053874178054233
2895-چوڭ سۈپەت:37-سەت:2.635619966091846
2906-خەيىرلىك سەھەر:37-سەت:2.4981164423419107
2914-ئىنتايىن ياخشى:37-سەت:1.0506574653706897
2915-ياخشى جاي:22-قايغۇ,27-ئاجىز:12.777319225128068
2957-ئىنتايىن كۆپ:27-ئاجىز:2.5356987685442784
2969-ئىچسەملا مۈگدەپ:22-قايغۇ:9.300514145637358
2970-ئارام ئېلىش:6-قالايمىقان,22-قايغۇ,37-سەت:8.856902782977384
2971-ئۇسۇلۇم يوق:22-قايغۇ:9.300514145637358
2972-تۇرمۇشۇم كۆڭۈللۈك:22-قايغۇ:9.300514145637358
2973-كۆڭۈللۈك ئۆتسىلا:22-قايغۇ:9.300514145637358
2976-يامان ئىش:6-قالايمىقان,27-ئاجىز,36-يامان نىيەت,37-سەت:16.2975661922046
2977-ئىنتايىن ئاز:37-سەت:1.565230638200448
2978-ئاز بولۇپ:37-سەت:3.6356199660918462
2983-ياخشى تەربىيە:37-سەت:2.787623059536896
2994-ئەڭ يۇقىرى:37-سەت:0.2205824668130017
2998-ۋەكىللىك قىلمايدۇ:28-خاتالىق:6.659595238942186
3008-ناھايتى قايىل:37-سەت:5.957548060979208
3009-ياخشى ئۆگىنىش:37-سەت:2.4981164423419107
3010-ئۇچۇرىنى بەرگەن:37-سەت:3.9575480609792084
3011-سەۋەپ كۆرسەتمەستىن:37-سەت:5.957548060979208
3012-بېلىتى ئېلىپ:37-سەت:4.957548060979208
3013-بۇرۇن كېلىپ:37-سەت:4.957548060979208
3014-ئوخشاشلا مىليونېر:37-سەت:5.957548060979208
3015-مىليونېر ئىدى:37-سەت:5.957548060979208
3018-رەھمەتلىك چوڭ:23-غەيرى:7.74021369915047
3029-تەرجىمە قىلىش:2-قوپال,28-خاتالىق,37-سەت:5.294993862537518
3046-ھېس قىلدىم:1-بىنورمال,27-ئاجىز,33-تېتىقسىز,37-سەت:9.81648470375851
3054-خېلى بولدى:28-خاتالىق,37-سەت:3.8033621087043574
3069-ھېرىپ كەتتىم:37-سەت:1.2026605588157393
3090-كۆپ نەپ:2-قوپال:9.568447350883991
3097-تەنھەركەتچى بولسىمۇ:38-قىلتاق:13.067679977579262
3098-گەپ قىلىش:2-قوپال,37-سەت,38-قىلتاق:14.91947085853915
3099-ئادەمنى قايىل:38-قىلتاق:11.482717476858108
3103-ئوتلۇق سالام:37-سەت:0.050657465370689686
3109-ئوپمۇ ئوخشاش:17-قانۇنسىز,37-سەت:9.604458040290279
3110-ئوخشاش ئىدى:27-ئاجىز:6.120661269265434
3111-تېخىمۇ كۈچلۈك:27-ئاجىز,29-زەربە:11.569038291429012
3120-ئوتتۇرا ئاسىيادىكى:29-زەربە,37-سەت:7.881992015819187
3129-تېخىمۇ ئاشتى:27-ئاجىز:6.120661269265434
3131-پەرقى يوق:6-قالايمىقان,37-سەت:5.41789772480886
3143-بەكلا قىزىق:37-سەت:5.372585560258052
3146-ئاز تولا:27-ئاجىز,28-خاتالىق:7.379377071925437
3157-غا قاراپ:6-قالايمىقان,7-ئەلەم,20-مەغلۇپ بولۇش,22-قايغۇ,27-ئاجىز,28-خاتالىق,32-ساختا,33-تېتىقسىز,35-شەھۋانى,37-سەت:17.591100556195737
3160-كۆپ خاتىرجەم:37-سەت:4.957548060979208
3161-خاتىرجەم قىلىدۇ:37-سەت:5.957548060979208
3162-چوقۇم ئىگىلەپ:37-سەت:5.957548060979208
3163-ھەمكارلىقىلا بولسا:37-سەت:5.957548060979208
3164-دەرۋازىسى كەڭ:37-سەت:5.957548060979208
3165-كەڭ ئېچىۋىتىلىدۇ:37-سەت:5.957548060979208
3167-سۈرئەتتە مۇۋەپپەقىيەت:37-سەت:1.4339861049221954
3183-رول ئېلىش:33-تېتىقسىز:9.013232193556886
3202-ئامال يوق:6-قالايمىقان,14-ئاۋارىچىلىق,18-زوراۋانلىق,32-ساختا,37-سەت:14.254623931499932
3206-شەھەرلىك ئوتتۇرا:6-قالايمىقان,37-سەت:9.818777161091043
3207-ئوتتۇرا مەكتەپ:37-سەت:1.038684823704614
3235-ئاخىرى تۈگىدى:37-سەت:2.957548060979208
3244-ياردەم بېرىدۇ:18-زوراۋانلىق:6.5931940132196765
3250-چوڭ بولسا:37-سەت:2.635619966091846
3254-ئېلان قىلدى:27-ئاجىز,28-خاتالىق,37-سەت:2.092320278755492
3278-ياخشى گەپ:27-ئاجىز,28-خاتالىق,37-سەت:7.473142062696423
3283-ھىھى ياشىسۇن:37-سەت:5.957548060979208
3287-چىڭ تۇت:27-ئاجىز,28-خاتالىق,32-ساختا,37-سەت:11.554873154124952
3295-ياخشى بولىدۇ:5-ئازار:6.24162045658379
3334-ھىلال ئاي:29-زەربە:5.761793617195421
3375-قىسقىچە مەزمۇنىنى:37-سەت:4.957548060979208
3392-ئىش بار:22-قايغۇ,28-خاتالىق,37-سەت:6.670111863806062
3393-بار ئىدى:23-غەيرى,27-ئاجىز,28-خاتالىق,29-زەربە,37-سەت:5.36958970225033
3401-لوڭقىسىنى تالىشىش:37-سەت:1.6356199660918458
3411-خېلى چوڭ:32-ساختا:5.115722834242677
3415-گەپ يوق:22-قايغۇ,27-ئاجىز,37-سەت:7.014195499281719
3444-تامغا بېسىپ:2-قوپال:9.568447350883991
3463-كەڭ قۇرساق:28-خاتالىق,35-شەھۋانى,37-سەت:16.30023321674651
3485-كۈچى كۈچلۈك:27-ئاجىز:7.120661269265434
3502-مەزمۇنى چوڭقۇر:27-ئاجىز:6.535698768544279
3614-ئەڭ مۇھىمى:6-قالايمىقان,27-ئاجىز,29-زەربە:10.974940171236288
3622-بار دەپ:6-قالايمىقان,27-ئاجىز,28-خاتالىق,29-زەربە:12.524957782103131
3650-ئەمەلىي كۈچ:28-خاتالىق:5.0746327382210294
3693-قىززىق چىقىپتۇ:28-خاتالىق:6.659595238942186
